Designator,Mid X,Mid Y,Rotation,Layer
C101,123.22,-98.88,90.0,top
C102,121.32,-97.98,90.0,top
C103,181.37,-92.28,0.0,top
C104,184.02,-102.2175,270.0,top
C105,173.82,-114.28,270.0,top
C106,179.62,-113.08,270.0,top
C107,172.07,-114.08,270.0,top
C108,177.87,-112.83,270.0,top
C109,177.87,-102.2675,180.0,top
C110,177.87,-104.2675,180.0,top
C111,181.07,-102.0175,180.0,top
C112,134.42,-75.245,180.0,top
C113,175.4325,-106.9675,180.0,top
C114,181.37,-94.28,0.0,top
C115,176.12,-99.58,270.0,top
C116,174.12,-99.58,270.0,top
C117,173.7325,-102.5175,270.0,top
C118,174.57,-84.03,0.0,top
C119,134.27,-96.13,90.0,top
C120,134.42,-78.08,180.0,top
C121,126.17,-112.38,0.0,top
C122,132.018948,-79.46583,160.0,top
C123,175.17,-81.38,0.0,top
C124,174.57,-89.905,0.0,top
C125,172.12,-99.58,270.0,top
D101,128.07,-101.08,90.0,top
D102,132.62,-99.58,0.0,top
D103,125.72,-116.38,302.0,top
D104,127.62,-119.03,308.0,top
D105,134.32,-80.33,160.0,top
F101,125.32,-99.33,180.0,top
FB101,121.82,-99.38,180.0,top
FB103,134.92,-76.645,270.0,top
IC101,180.22,-98.1175,90.0,top
J101,123.27,-106.58,284.0,top
J102,126.124027,-87.969364,250.0,top
J103,131.37,-102.38,0.0,top
L101,175.07,-94.53,90.0,top
L102,175.17,-111.23,0.0,top
L103,179.37,-109.38,90.0,top
L104,173.62,-87.005,90.0,top
R101,128.02,-112.38,180.0,top
R102,128.02,-113.38,180.0,top
R103,178.72,-92.78,270.0,top
R105,183.0825,-104.3675,90.0,top
R106,179.12,-115.28,180.0,top
R107,182.1325,-104.3675,90.0,top
R108,181.1825,-104.3675,270.0,top
R109,184.17,-95.83,0.0,top
R111,184.17,-96.78,0.0,top
R112,128.47,-115.53,270.0,top
R113,184.17,-98.98,180.0,top
R114,184.17,-98.03,0.0,top
R115,172.8,-102.51,270.0,top
R116,174.67,-102.51,90.0,top
R117,183.07,-102.2175,270.0,top
R118,184.0325,-104.3675,270.0,top
R119,127.52,-115.53,270.0,top
R120,172.27,-110.48,270.0,top
R121,173.3325,-116.4675,180.0,top
SW101,152.6,-129.47,0.0,top
